,Country,Population,Density,GDP
180,Senegal,11988,23,1600.0
181,Serbia,9397,41,2200.0
182,Seychelles,82,69,7800.0
183,Sierra Leone,6006,32,500.0
184,Singapore,4493,2502,23700.0
185,Slovakia,5440,43,13300.0
186,Slovenia,2011,38,19000.0
187,Solomon Islands,553,7,1700.0
188,Somalia,8864,5,500.0
189,South Africa,44188,13,10700.0
190,Spain,40398,30,22000.0
191,Sri Lanka,20223,118,3700.0
192,Sudan,41237,6,1900.0
193,Suriname,440,1,4000.0
194,Swaziland,1137,25,4900.0
195,Sweden,9017,7,26800.0
196,Switzerland,7524,70,32700.0
197,Syria,18882,39,3300.0
198,Taiwan,23037,247,23400.0
199,Tajikistan,7321,19,1000.0
200,Tanzania,37446,15,600.0
201,Thailand,64632,48,7400.0
202,Togo,5549,37,1500.0
203,Tonga,115,59,2200.0
204,Trinidad & Tobago,1066,80,9500.0
205,Tunisia,10176,24,6900.0
206,Turkey,70414,34,6700.0
207,Turkmenistan,5043,3,5800.0
208,Turks & Caicos Is,22,18,9600.0
209,Tuvalu,12,175,1100.0
210,Uganda,28196,46,1400.0
211,Ukraine,46711,29,5400.0
212,United Arab Emirates,2603,12,23200.0
213,United Kingdom,60610,95,27700.0
214,US,298445,11,37800.0
215,Uruguay,3432,7,12800.0
216,Uzbekistan,27308,23,1700.0
217,Vanuatu,209,6,2900.0
218,Venezuela,25731,10,4800.0
219,Vietnam,84403,98,2500.0
220,Virgin Islands,109,21,17200.0
221,Wallis and Futuna,17,22,3700.0
222,West Bank,2461,162,800.0
223,Western Sahara,274,0,
224,Yemen,21457,15,800.0
225,Zambia,11503,5,800.0
226,Zimbabwe,12237,12,1900.0
